,H25_sex,delta_incident_rate,H25_age
414,1.0,-0.402,3
415,1.0,-0.401,8
416,1.0,-0.4,1
417,1.0,-0.399,1
418,1.0,-0.397,4
419,1.0,-0.395,2
420,1.0,-0.394,2
421,1.0,-0.393,3
422,1.0,-0.392,2
423,1.0,-0.391,1
424,1.0,-0.39,1
425,1.0,-0.389,3
426,1.0,-0.388,1
427,1.0,-0.386,1
428,1.0,-0.385,3
429,1.0,-0.384,1
430,1.0,-0.383,1
431,1.0,-0.381,4
432,1.0,-0.38,2
433,1.0,-0.379,3
434,1.0,-0.378,6
435,1.0,-0.376,4
436,1.0,-0.375,2
437,1.0,-0.374,6
438,1.0,-0.373,3
439,1.0,-0.372,2
440,1.0,-0.371,4
441,1.0,-0.37,2
442,1.0,-0.369,2
443,1.0,-0.368,1
444,1.0,-0.367,4
445,1.0,-0.366,2
446,1.0,-0.365,1
447,1.0,-0.362,3
448,1.0,-0.361,2
449,1.0,-0.359,1
450,1.0,-0.358,3
451,1.0,-0.357,1
452,1.0,-0.356,3
453,1.0,-0.355,1
454,1.0,-0.354,2
455,1.0,-0.353,2
456,1.0,-0.352,6
457,1.0,-0.35,8
458,1.0,-0.349,5
459,1.0,-0.348,2
460,1.0,-0.347,3
461,1.0,-0.346,4
462,1.0,-0.345,4
463,1.0,-0.344,2
464,1.0,-0.343,3
465,1.0,-0.342,6
466,1.0,-0.341,5
467,1.0,-0.34,2
468,1.0,-0.339,3
469,1.0,-0.338,2
470,1.0,-0.337,3
471,1.0,-0.336,4
472,1.0,-0.335,5
473,1.0,-0.334,6
474,1.0,-0.333,2
475,1.0,-0.332,5
476,1.0,-0.331,2
477,1.0,-0.33,2
478,1.0,-0.329,2
479,1.0,-0.328,5
480,1.0,-0.327,3
481,1.0,-0.326,3
482,1.0,-0.325,5
483,1.0,-0.324,4
484,1.0,-0.323,4
485,1.0,-0.322,4
486,1.0,-0.321,2
487,1.0,-0.32,6
488,1.0,-0.319,4
489,1.0,-0.318,7
490,1.0,-0.317,1
491,1.0,-0.316,3
492,1.0,-0.315,2
493,1.0,-0.314,4
494,1.0,-0.313,5
495,1.0,-0.312,6
496,1.0,-0.311,1
497,1.0,-0.31,7
498,1.0,-0.309,4
499,1.0,-0.308,6
500,1.0,-0.307,4
501,1.0,-0.306,1
502,1.0,-0.305,3
503,1.0,-0.304,3
504,1.0,-0.303,5
505,1.0,-0.302,7
506,1.0,-0.301,4
507,1.0,-0.3,2
508,1.0,-0.299,4
509,1.0,-0.298,4
510,1.0,-0.297,2
511,1.0,-0.296,3
512,1.0,-0.295,3
513,1.0,-0.294,8
514,1.0,-0.293,3
515,1.0,-0.292,4
516,1.0,-0.291,6
517,1.0,-0.29,9
518,1.0,-0.289,5
519,1.0,-0.288,6
520,1.0,-0.287,9
521,1.0,-0.286,3
522,1.0,-0.285,2
523,1.0,-0.284,4
524,1.0,-0.283,2
525,1.0,-0.282,5
526,1.0,-0.281,5
527,1.0,-0.28,13
528,1.0,-0.279,4
529,1.0,-0.278,3
530,1.0,-0.277,5
531,1.0,-0.276,9
532,1.0,-0.275,4
533,1.0,-0.274,7
534,1.0,-0.273,6
535,1.0,-0.272,6
536,1.0,-0.271,1
537,1.0,-0.27,5
538,1.0,-0.269,5
539,1.0,-0.268,7
540,1.0,-0.267,3
541,1.0,-0.266,3
542,1.0,-0.265,6
543,1.0,-0.264,2
544,1.0,-0.263,7
545,1.0,-0.262,5
546,1.0,-0.261,8
547,1.0,-0.26,4
548,1.0,-0.259,4
549,1.0,-0.258,11
550,1.0,-0.257,5
551,1.0,-0.256,8
552,1.0,-0.255,4
553,1.0,-0.254,7
554,1.0,-0.253,6
555,1.0,-0.252,5
556,1.0,-0.251,2
557,1.0,-0.25,10
558,1.0,-0.249,5
559,1.0,-0.248,6
560,1.0,-0.247,3
561,1.0,-0.246,8
562,1.0,-0.245,8
563,1.0,-0.244,10
564,1.0,-0.243,4
565,1.0,-0.242,5
566,1.0,-0.241,9
567,1.0,-0.24,7
568,1.0,-0.239,2
569,1.0,-0.238,8
570,1.0,-0.237,8
571,1.0,-0.236,3
572,1.0,-0.235,10
573,1.0,-0.234,4
574,1.0,-0.233,15
575,1.0,-0.232,7
576,1.0,-0.231,7
577,1.0,-0.23,5
